#Keyword Types: 343
#Keyword Tokens: 28442
#Search Hits: 0
152	23	+	46.6	0.0008	называется
153	34	+	45.91	0.0011	куда
154	24	+	45.57	0.0008	кому
155	19	+	45.06	0.0006	приехали
156	19	+	45.06	0.0006	учиться
157	25	+	44.84	0.0008	опять
158	16	+	44.14	0.0005	sg
159	44	+	44.11	0.0015	сколько
160	22	+	44.09	0.0007	школе
161	38	+	41.71	0.0013	жизни
162	15	+	41.38	0.0005	минуты
163	15	+	41.38	0.0005	окей
164	15	+	41.38	0.0005	поехали
165	15	+	41.38	0.0005	привет
166	15	+	41.38	0.0005	смотрю
167	19	+	40.37	0.0006	час
168	14	+	38.62	0.0005	говори
169	14	+	38.62	0.0005	утра
170	21	+	38.27	0.0007	г
171	40	+	38.24	0.0013	делать
172	48	+	37.48	0.0016	себе
173	23	+	37.36	0.0008	дома
174	16	+	37.11	0.0005	пожалуйста
175	16	+	37.11	0.0005	родители
176	19	+	36.63	0.0006	допустим
177	13	+	35.86	0.0004	девочка
178	13	+	35.86	0.0004	думаешь
179	13	+	35.86	0.0004	кешью
180	13	+	35.86	0.0004	мать
181	13	+	35.86	0.0004	сижу
182	13	+	35.86	0.0004	спать
183	13	+	35.86	0.0004	твои
184	13	+	35.86	0.0004	учились
185	17	+	35.27	0.0006	пошла
186	23	+	34.92	0.0008	далее
187	15	+	34.48	0.0005	будешь
188	15	+	34.48	0.0005	куча
189	15	+	34.48	0.0005	понял
190	15	+	34.48	0.0005	поняла
191	15	+	34.48	0.0005	сюда
192	18	+	34.17	0.0006	дом
193	29	+	33.86	0.001	вам
194	19	+	33.48	0.0006	зачем
195	27	+	33.3	0.0009	жизнь
196	12	+	33.1	0.0004	весело
197	12	+	33.1	0.0004	детстве
198	12	+	33.1	0.0004	квартиру
199	12	+	33.1	0.0004	круто
200	12	+	33.1	0.0004	любят
201	12	+	33.1	0.0004	поговорить
202	12	+	33.1	0.0004	пятьдесят
203	20	+	33.06	0.0007	другому
204	156	+	33	0.0052	или
205	21	+	32.81	0.0007	хоть
206	21	+	32.81	0.0007	язык
207	16	+	32.74	0.0005	школа
208	16	+	32.74	0.0005	языке
209	36	+	32.48	0.0012	две
210	28	+	31.9	0.0009	обычно
211	14	+	31.85	0.0005	домой
212	14	+	31.85	0.0005	любит
213	14	+	31.85	0.0005	пятнадцать
214	17	+	31.73	0.0006	давайте
215	17	+	31.73	0.0006	получилось
216	113	+	30.94	0.0038	даже
217	11	+	30.35	0.0004	inan
218	11	+	30.35	0.0004	девочки
219	11	+	30.35	0.0004	девяносто
220	11	+	30.35	0.0004	здорово
221	11	+	30.35	0.0004	знала
222	11	+	30.35	0.0004	классно
223	11	+	30.35	0.0004	кхм
224	11	+	30.35	0.0004	понимаешь
225	11	+	30.35	0.0004	расскажу
226	11	+	30.35	0.0004	смеётся
227	11	+	30.35	0.0004	смотри
228	11	+	30.35	0.0004	училась
229	11	+	30.35	0.0004	холодно
230	15	+	30.23	0.0005	играть
231	15	+	30.23	0.0005	классе
232	26	+	29.62	0.0009	смысле
233	49	+	29.4	0.0016	всегда
234	16	+	29.31	0.0005	видео
235	16	+	29.31	0.0005	ходили
236	13	+	29.24	0.0004	семья
237	13	+	29.24	0.0004	ходить
238	22	+	28.56	0.0007	часов
239	19	+	28.34	0.0006	слово
240	14	+	27.73	0.0005	собственно
241	10	+	27.59	0.0003	бывают
242	10	+	27.59	0.0003	вкус
243	10	+	27.59	0.0003	восемьдесят
244	10	+	27.59	0.0003	иии
245	10	+	27.59	0.0003	кашель
246	10	+	27.59	0.0003	лиля
247	10	+	27.59	0.0003	нуу
248	10	+	27.59	0.0003	озеро
249	10	+	27.59	0.0003	пол
250	10	+	27.59	0.0003	прикольно
251	10	+	27.59	0.0003	своё
252	10	+	27.59	0.0003	слушай
253	10	+	27.59	0.0003	смешок
254	10	+	27.59	0.0003	собака
255	10	+	27.59	0.0003	ушёл
256	50	+	27.52	0.0017	день
257	28	+	27.44	0.0009	таки
258	24	+	27.34	0.0008	принципе
259	35	+	27.3	0.0012	четыре
260	12	+	26.63	0.0004	берег
